Designator	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Layer	Rotation	Comment
"LED75"	"LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B"	"23.3mm"	"75.1mm"	"23.3mm"	"75.1mm"	"23.12mm"	"74.24mm"	"T"	"109"	"WS2812B-1615"
"LED76"	"LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B"	"25mm"	"69.8mm"	"25mm"	"69.8mm"	"24.82mm"	"68.94mm"	"T"	"109"	"WS2812B-1615"
"LED77"	"LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B"	"26.75mm"	"64.5mm"	"26.75mm"	"64.5mm"	"26.57mm"	"63.64mm"	"T"	"109"	"WS2812B-1615"
"LED78"	"LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B"	"28.45mm"	"59.2mm"	"28.45mm"	"59.2mm"	"28.27mm"	"58.34mm"	"T"	"109"	"WS2812B-1615"
"LED79"	"LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B"	"30.2mm"	"53.85mm"	"30.2mm"	"53.85mm"	"29.99mm"	"53mm"	"T"	"107"	"WS2812B-1615"
"LED80"	"LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B"	"26.15mm"	"52.2mm"	"26.15mm"	"52.2mm"	"26.72mm"	"51.54mm"	"T"	"162"	"WS2812B-1615"
"LED81"	"LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B"	"31.95mm"	"48.5mm"	"31.95mm"	"48.5mm"	"31.77mm"	"47.64mm"	"T"	"109"	"WS2812B-1615"
"LED82"	"LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B"	"27.2mm"	"46.95mm"	"27.2mm"	"46.95mm"	"27.76mm"	"46.28mm"	"T"	"161"	"WS2812B-1615"
"LED83"	"LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B"	"30.05mm"	"42.85mm"	"30.05mm"	"42.85mm"	"29.18mm"	"42.77mm"	"T"	"36"	"WS2812B-1615"
"LED84"	"LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B"	"23.25mm"	"43.5mm"	"23.25mm"	"43.5mm"	"22.57mm"	"42.95mm"	"T"	"70"	"WS2812B-1615"
"LED85"	"LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B"	"25.55mm"	"39.6mm"	"25.55mm"	"39.6mm"	"24.68mm"	"39.52mm"	"T"	"36"	"WS2812B-1615"
"LED86"	"LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B"	"21.05mm"	"36.33mm"	"21.05mm"	"36.33mm"	"20.17mm"	"36.25mm"	"T"	"36"	"WS2812B-1615"
"LED87"	"LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B"	"16.55mm"	"33.05mm"	"16.55mm"	"33.05mm"	"15.68mm"	"32.97mm"	"T"	"36"	"WS2812B-1615"
"LED88"	"LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B"	"12.15mm"	"29.85mm"	"12.15mm"	"29.85mm"	"11.28mm"	"29.77mm"	"T"	"36"	"WS2812B-1615"
"LED89"	"LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B"	"7.5mm"	"26.45mm"	"7.5mm"	"26.45mm"	"6.63mm"	"26.37mm"	"T"	"36"	"WS2812B-1615"
"LED90"	"LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B"	"4.55mm"	"29.95mm"	"4.55mm"	"29.95mm"	"3.8mm"	"30.4mm"	"T"	"0"	"WS2812B-1615"
"LED91"	"LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B"	"2.95mm"	"23.2mm"	"2.95mm"	"23.2mm"	"2.08mm"	"23.12mm"	"T"	"36"	"WS2812B-1615"
"LED92"	"LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B"	"0.05mm"	"27.15mm"	"0.05mm"	"27.15mm"	"-0.7mm"	"27.6mm"	"T"	"0"	"WS2812B-1615"
"LED93"	"LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B"	"-3mm"	"23.2mm"	"-3mm"	"23.2mm"	"-3.34mm"	"24.01mm"	"T"	"324"	"WS2812B-1615"
"LED94"	"LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B"	"-4.55mm"	"29.9mm"	"-4.55mm"	"29.9mm"	"-5.3mm"	"30.35mm"	"T"	"0"	"WS2812B-1615"
"LED95"	"LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B"	"-7.4mm"	"26.45mm"	"-7.4mm"	"26.45mm"	"-7.74mm"	"27.26mm"	"T"	"324"	"WS2812B-1615"
"LED96"	"LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B"	"-11.95mm"	"29.7mm"	"-11.95mm"	"29.7mm"	"-12.29mm"	"30.5mm"	"T"	"324"	"WS2812B-1615"
"LED97"	"LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B"	"-16.45mm"	"33mm"	"-16.45mm"	"33mm"	"-16.79mm"	"33.8mm"	"T"	"324"	"WS2812B-1615"
"LED98"	"LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B"	"-20.99mm"	"36.33mm"	"-20.99mm"	"36.33mm"	"-21.33mm"	"37.13mm"	"T"	"324"	"WS2812B-1615"
"LED99"	"LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B"	"-25.5mm"	"39.55mm"	"-25.5mm"	"39.55mm"	"-25.84mm"	"40.35mm"	"T"	"324"	"WS2812B-1615"
"LED100"	"LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B"	"-23.15mm"	"43.4mm"	"-23.15mm"	"43.4mm"	"-22.97mm"	"44.26mm"	"T"	"289"	"WS2812B-1615"
"LED101"	"LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B"	"-30.14mm"	"42.8mm"	"-30.14mm"	"42.8mm"	"-30.48mm"	"43.61mm"	"T"	"324"	"WS2812B-1615"
"LED102"	"LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B"	"-27.15mm"	"46.9mm"	"-27.15mm"	"46.9mm"	"-26.94mm"	"47.75mm"	"T"	"287"	"WS2812B-1615"
"LED103"	"LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B"	"-31.9mm"	"48.5mm"	"-31.9mm"	"48.5mm"	"-31.24mm"	"49.07mm"	"T"	"252"	"WS2812B-1615"
"LED104"	"LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B"	"-30.15mm"	"53.95mm"	"-30.15mm"	"53.95mm"	"-29.48mm"	"54.51mm"	"T"	"251"	"WS2812B-1615"
